HH_ID,ResType,ResStatus,HHInc,HHNbr,MWrkHrs,MEdu,FWrkHrs,FEdu,FBirth,F_Rel,MBirth,M_Rel,Cable,Cats,Dogs,YogExp,DinExp,HHIn1,HHIn2,HHIn3,HHIn4,HHIn5,HHIn6,HHIn7,HHIn8,HHIn9,HHIn10,HHIn11,HHIn12,HHIn13,ResType1,ResType2,ResType3,ResType4,ResType5,ResStatus1,ResStatus2,MUndergrad,MGrad,FUndergrad,FGrad,Married,BuyYog,BuyDin,FAge,MAge
1101675,3,1,6,4,40,4,36,5,1952,1,1950,2,1,1,2,10.89,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,36,38
1101683,3,1,3,2,40,7,40,2,1962,1,1963,2,1,0,0,26.56,122.40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,26,25
1101717,3,1,10,2,45,8,35,5,1942,1,1939,2,1,0,1,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,46,49
1101758,3,1,2,1,0,0,20,5,1914,1,1914,0,1,0,0,17.49,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,74,74
1101782,3,1,11,3,60,8,40,8,1928,1,1929,2,0,0,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,60,59
1101790,3,1,8,4,44,7,40,8,1956,1,1954,2,1,1,2,578.37,1396.20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,32,34
1101824,3,1,4,2,0,3,0,5,1923,1,1924,2,1,0,0,14.09,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,65,64
1101832,3,1,4,2,40,5,40,4,1930,1,1931,2,1,0,1,16.62,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,58,57
1101865,3,1,5,3,30,3,40,7,1950,1,1937,2,1,0,0,84.96,132.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,38,51
1101899,3,1,12,2,0,9,0,5,1913,1,1910,2,1,0,0,1.83,4.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,75,78
