INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
Green Mountain College,VT,,1,3,2,42,13,8,0.8248,,,,,,0.509091,0.527273,0.630872,23300.00,27,340
Northern Vermont University,VT,New England Commission on Higher Education,1,3,1,42,11,10,0.6714,12333,12863,16409,18466,20265,0.417204,0.589744,0.623377,28000.00,67,771
Marlboro College,VT,New England Commission on Higher Education,1,3,2,42,11,8,0.7135,,,,,,0.677419,0.529412,0.622222,22200.00,,
Middlebury College,VT,New England Commission on Higher Education,1,3,2,32,14,11,0.2370,,,,,,,,0.865741,41900.00,63,435
New England Culinary Institute,VT,Accrediting Commission of Career Schools and Colleges,1,3,3,32,7,7,0.7183,,,,,,0.474576,0.618321,0.733333,30200.00,40,390
Norwich University,VT,New England Commission on Higher Education,1,3,2,32,9,13,0.5194,,,,,,0.630332,0.700000,0.795761,41900.00,34,756
O'Briens Aveda Institute,VT,National Accrediting Commission of Career Arts and Sciences,1,1,3,22,-2,-2,0.6531,,,,,,0.469388,,,,,
Saint Michael's College,VT,New England Commission on Higher Education,1,3,2,22,10,11,0.5921,,,,,,0.663158,0.782857,0.854617,40000.00,,
SIT Graduate Institute,VT,New England Commission on Higher Education,1,4,2,41,0,18,,,,,,,,,,,,
College of St Joseph,VT,,1,3,2,32,11,8,0.7131,,,,,,0.289474,,,28000.00,,
Southern Vermont College,VT,,1,3,2,41,11,8,0.8089,,,,,,0.385246,0.537815,0.647059,32700.00,,
Sterling College,VT,New England Commission on Higher Education,1,3,2,43,11,8,0.4740,,,,,,0.607143,,,17500.00,,
Vermont Law School,VT,New England Commission on Higher Education,1,4,2,43,0,18,,,,,,,,,,,,
Vermont Technical College,VT,New England Commission on Higher Education,1,2,1,43,9,10,0.5776,15423,18057,20670,23338,24441,0.646226,0.834197,0.818548,42000.00,46,880
University of Vermont,VT,New England Commission on Higher Education,1,3,1,13,14,17,0.4303,12859,14052,16803,20386,26133,0.688571,0.769507,0.824022,37100.00,162,2806
Paul Mitchell the School-Roanoke,VA,Council on Occupational Education,1,1,3,13,-2,-2,0.6727,,,,,,,,,13400.00,27,71
Advanced Technology Institute,VA,Accrediting Commission of Career Schools and Colleges,1,1,3,11,4,1,0.2694,,,,,,0.195195,0.335821,0.646154,31900.00,85,627
Averett University,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,32,11,8,0.7433,,,,,,0.345679,0.485714,0.570248,35800.00,47,820
Blue Ridge Community College,VA,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,41,1,3,0.1081,9804,10068,11197,13647,14996,0.237226,0.470414,0.556650,27100.00,158,1035
Bluefield College,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,32,11,7,0.7173,,,,,,0.301961,0.481481,0.637037,35200.00,38,378
Bridgewater College,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,23,12,11,0.7248,,,,,,0.626016,0.736462,0.777778,33600.00,27,594
William & Mary,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,23,14,14,0.2555,997,3001,11877,19171,30422,0.746914,0.786207,0.821839,43900.00,65,967
Regent University,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,11,5,12,0.8024,,,,,,0.263525,0.409611,0.544186,31400.00,135,586
Central School of Practical Nursing,VA,Accreditation Commission for Education in Nursing,1,1,1,12,-2,-2,0.0000,8039,,,,,,,,,,
Central Virginia Community College,VA,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,13,1,3,0.0577,4204,4535,5831,7833,9649,0.271429,0.481928,0.571429,23700.00,133,751
Christopher Newport University,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,1,12,12,14,0.4717,16825,17284,20581,24582,28085,0.618421,0.699317,0.778923,38200.00,51,1168
Suffolk Beauty Academy,VA,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.3529,,,,,,,,,13900.00,27,54
Bryant & Stratton College-Virginia Beach,VA,Middle States Commission on Higher Education,0,2,3,11,7,6,0.7339,,,,,,0.102642,0.245264,0.384738,21200.00,2031,9472
Bryant & Stratton College-Richmond,VA,Middle States Commission on Higher Education,0,2,3,21,5,6,0.7385,,,,,,0.102642,0.245264,0.384738,21200.00,2031,9472
Radford University-Carilion,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,13,7,6,0.7160,,,,,,0.506849,0.634286,0.723404,46900.00,28,407
Dabney S Lancaster Community College,VA,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,41,1,2,0.1238,4958,5702,6541,10553,10910,0.299213,0.436170,0.596154,24700.00,47,364
Danville Community College,VA,Southern Association of Colleges and Schools Commission on Colleges,1,1,1,32,1,2,0.0777,6783,7031,8947,11292,12067,0.177122,0.478261,0.458333,19900.00,252,1012
Eastern Virginia Medical School,VA,Southern Association of Colleges and Schools Commission on Colleges,1,4,1,12,0,18,,,,,,,,,,,,
Centura College-Virginia Beach,VA,Accrediting Commission of Career Schools and Colleges,1,2,3,11,6,6,0.8042,,,,,,0.075290,0.141892,0.392157,15700.00,1029,2707
Emory & Henry College,VA,Southern Association of Colleges and Schools Commission on Colleges,1,3,2,41,12,11,0.7420,,,,,,0.514925,0.537572,0.721311,29900.00,25,330
