INSTNM,STABBR,ACCREDAGENCY,MAIN,PREDDEG,CONTROL,LOCALE,CCUGPROF,CCSIZSET,PCTFLOAN,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,LO_INC_RPY_1YR_RT,MD_INC_RPY_1YR_RT,HI_INC_RPY_1YR_RT,MD_EARN_WNE_P6,COUNT_NWNE_P6,COUNT_WNE_P6
American Career College-Anaheim,CA,Accrediting Bureau of Health Education Schools,0,1,3,11,4,2,0.5993,,,,,,0.255077,0.395683,0.461847,24600.00,1050,5158
Saginaw Chippewa Tribal College,MI,Higher Learning Commission,1,2,1,32,1,1,0.0000,5011,,,,,,,,,,
Richmont Graduate University,TN,Southern Association of Colleges and Schools Commission on Colleges,1,4,2,12,0,18,,,,,,,,,,,,
The Seattle School of Theology & Psychology,WA,Commission on Accrediting of the Association of Theological Schools,1,4,2,11,0,18,,,,,,,,,,,,
Northwest College-Hillsboro,OR,National Accrediting Commission of Career Arts and Sciences,0,1,3,12,-2,-2,0.5690,,,,,,0.171030,0.439490,0.607843,18200.00,67,241
East Valley Institute of Technology,AZ,Council on Occupational Education,1,1,1,11,-2,-2,0.0000,,,,,,,,,,,
West Coast Ultrasound Institute,CA,Accrediting Commission of Career Schools and Colleges,1,2,3,21,4,2,0.8297,,,,,,0.310694,0.408571,0.676259,37100.00,78,504
Irell & Manella Graduate School of Biological Sciences at City of Hope,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,4,2,21,0,18,,,,,,,,,,,,
Design's School of Cosmetology,CA,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.6446,,,,,,0.450382,,,16800.00,56,171
Harris School of Business-Wilmington Campus,DE,Accrediting Council for Continuing Education & Training,1,1,3,21,-2,-2,0.4783,,,,,,0.171569,0.293750,0.512821,22900.00,131,742
Ultimate Medical Academy-Clearwater,FL,Accrediting Bureau of Health Education Schools,1,2,2,12,4,5,0.9069,,,,,,0.177700,0.303552,0.466411,20700.00,704,2359
Florida Barber Academy,FL,Council on Occupational Education,1,1,3,21,-2,-2,0.5686,,,,,,0.101512,,,15600.00,103,171
M-DCPS The English Center,FL,Council on Occupational Education,1,1,1,11,-2,-2,0.0000,11764,,,,,,,,14600.00,27,65
Florida Education Institute,FL,Council on Occupational Education,1,1,3,21,-2,-2,0.6135,,,,,,0.372340,,,16100.00,105,382
Texas County Technical College,MO,Accrediting Bureau of Health Education Schools,1,1,2,43,3,1,0.6964,,,,,,0.288136,,,27100.00,52,229
Aviation Institute of Maintenance-Kansas City,MO,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.8365,,,,,,0.168750,,,28800.00,35,192
Blue Cliff College-Gulfport,MS,Accrediting Commission of Career Schools and Colleges,0,1,3,13,-2,-2,0.8481,,,,,,0.439024,0.536313,0.571429,17100.00,122,531
Apex School of Theology,NC,,1,3,2,11,10,6,0.9226,,,,,,,,,,,
Institute for Therapeutic Massage,NJ,Commission on Massage Therapy Accreditation,1,1,3,21,-2,-2,0.5455,,,,,,0.600000,,,25800.00,47,187
Metropolitan Learning Institute,NY,Council on Occupational Education,1,1,2,11,-2,-2,0.0000,,,,,,0.474747,,,17600.00,229,510
Orleans Niagara BOCES-Practical Nursing Program,NY,New York State Board of Regents State Education Department Office of the Professions (Public Postsecondary Vocational Education Practical Nursing),1,1,1,41,-2,-2,0.8148,15226,10717,19044,18044,,0.472222,,,,,
Yeshiva Shaarei Torah of Rockland,NY,Association of Institutions of Jewish Studies,1,3,2,21,11,8,0.0000,,,,,,,,,,,
Leon Studio One School of Beauty Knowledge,NY,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.5217,,,,,,0.333333,,,16500.00,,
American Institute of Alternative Medicine,OH,Accrediting Commission of Career Schools and Colleges,1,1,3,11,9,6,0.7320,,,,,,0.252941,0.412371,0.518519,18900.00,30,123
Brown Aveda Institute-Mentor,OH,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.8428,,,,,,0.425743,0.522222,0.676056,21200.00,32,233
Institute of Technology,OR,Accrediting Council for Continuing Education & Training,1,1,3,22,-2,-2,0.6793,,,,,,0.268493,0.440559,0.612903,25300.00,25,134
Susquehanna County Career and Technology Center,PA,Council on Occupational Education,1,1,1,42,-2,-2,0.8529,4019,4225,7394,,,,,,,,
Universidad Pentecostal Mizpa,PR,Association for Bibical Higher Educaiton,1,3,2,11,5,6,0.0000,,,,,,,,,17300.00,70,92
Caribbean Forensic and Technical College,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.0000,,,,,,,,,17400.00,55,102
Concorde Career College-Grand Prairie,TX,Accrediting Commission of Career Schools and Colleges,1,1,3,21,4,2,0.6745,,,,,,0.275740,0.407666,0.573529,28200.00,198,1343
Lamar Institute of Technology,TX,Southern Association of Colleges and Schools Commission on Colleges,1,2,1,12,2,2,0.1814,6033,6907,8570,11083,11578,0.225225,0.377522,0.558559,30600.00,138,1133
Aviation Institute of Maintenance-Dallas,TX,Accrediting Commission of Career Schools and Colleges,1,1,3,12,-2,-2,0.6667,,,,,,0.202532,,,31900.00,113,548
Healing Mountain Massage School,UT,Accrediting Bureau of Health Education Schools,1,1,3,12,-2,-2,0.7740,,,,,,0.453125,,,,,
Eastern Virginia Career College,VA,Council on Occupational Education,1,2,3,22,3,1,0.6083,,,,,,0.281106,0.507937,0.605263,24200.00,50,291
Rudy & Kelly Academy-A Paul Mitchell Partner School,VA,National Accrediting Commission of Career Arts and Sciences,1,1,3,11,-2,-2,0.5908,,,,,,0.317073,0.432099,0.615385,17800.00,27,148
Nevada State College,NV,Northwest Commission on Colleges and Universities,1,3,1,41,5,9,0.2687,11853,11571,14477,18268,18949,0.277409,0.436842,0.493750,40000.00,76,492
California State University-Channel Islands,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,22,13,12,0.4042,12545,13805,17572,22051,24798,0.521168,0.680995,0.747228,35300.00,91,1067
Franklin W Olin College of Engineering,MA,New England Commission on Higher Education,1,3,2,21,14,8,0.2763,,,,,,,,,,,
Won Institute of Graduate Studies,PA,Middle States Commission on Higher Education,1,4,2,21,0,18,,,,,,,,,,,,
Lincoln Technical Institute-Paramus,NJ,Accrediting Commission of Career Schools and Colleges,0,1,3,21,-2,-2,0.8538,,,,,,0.203657,0.347449,0.600551,23400.00,1044,5116
Pima Medical Institute-Colorado Springs,CO,Accrediting Bureau of Health Education Schools,0,1,3,11,4,2,0.5887,,,,,,0.358655,0.530829,0.661552,26700.00,1767,8268
University of Phoenix-Illinois,IL,Higher Learning Commission,0,3,3,13,0,6,0.4104,,,,,,0.155638,0.306881,0.484815,28400.00,56161,245947
Birthwise Midwifery School,ME,Midwifery Education Accreditation Council,1,1,3,42,-2,-2,0.6184,,,,,,,,,,,
Paul Mitchell the School-Costa Mesa,CA,National Accrediting Commission of Career Arts and Sciences,0,1,3,12,-2,-2,0.5223,,,,,,0.330083,0.496416,0.627604,19200.00,310,1315
Ave Maria School of Law,FL,American Bar Association,1,4,2,21,0,18,,,,,,,,,,,,
Tulsa Welding School-Jacksonville,FL,Accrediting Commission of Career Schools and Colleges,0,1,3,11,-2,-2,0.5454,,,,,,0.251096,0.476900,0.676580,29800.00,498,2472
Pennsylvania College of Health Sciences,PA,Middle States Commission on Higher Education,1,2,2,21,5,6,0.4947,,,,,,0.542453,0.685259,0.783784,49900.00,25,327
West Virginia Junior College-Bridgeport,WV,Accrediting Bureau of Health Education Schools,0,2,3,32,4,1,0.8077,,,,,,0.196691,0.407407,0.450000,15500.00,130,490
Antioch University-PhD Program in Leadership and Change,OH,Higher Learning Commission,0,4,2,41,0,18,,,,,,,0.339623,0.437908,0.478873,33500.00,64,440
St Louis College of Health Careers-Fenton,MO,Accrediting Bureau of Health Education Schools,0,1,3,21,7,6,0.6266,,,,,,0.096948,0.262712,0.580645,19500.00,105,655
Interactive College of Technology-Gainesville,GA,Council on Occupational Education,0,1,3,13,4,1,0.6190,,,,,,0.332594,,,19900.00,633,2244
Alaska Christian College,AK,Association for Bibical Higher Educaiton,1,2,2,41,4,1,0.6081,,,,,,,,,,,
Grantham University,KS,Distance Education Accrediting Commission,1,2,3,21,5,12,0.4530,,,,,,0.180264,0.351410,0.516854,,,
Carrington College-Albuquerque,NM,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,0,1,3,11,4,1,0.3876,,,,,,0.246131,0.390116,0.542373,25200.00,976,5027
NASCAR Technical Institute,NC,Accrediting Commission of Career Schools and Colleges,0,1,3,21,-2,-2,0.6529,,,,,,0.349181,0.498410,0.676223,35000.00,965,10064
University of the Potomac-VA Campus,VA,Middle States Commission on Higher Education,0,3,3,21,10,6,0.0952,,,,,,0.188000,0.317073,0.454545,30200.00,59,262
Milan Institute-Palm Desert,CA,Council on Occupational Education,1,1,3,21,-2,-2,0.3913,,,,,,0.250708,,,19900.00,234,1103
National American University-Overland Park,KS,,0,3,3,12,5,6,0.8770,,,,,,0.132701,0.289731,0.432143,28200.00,767,4230
Tohono O'odham Community College,AZ,Higher Learning Commission,1,2,1,43,1,1,0.0000,5899,4492,6877,,,,,,26700.00,,
Edward Via College of Osteopathic Medicine,VA,American Osteopathic Association,1,4,2,13,0,18,,,,,,,,,,,,
The Salter School-Malden Campus,MA,,0,1,3,21,-2,-2,0.3892,,,,,,0.227112,0.408194,0.578199,23100.00,714,2899
Pacific College of Health Science-Chicago,IL,Accrediting Commission of Career Schools and Colleges,0,1,3,11,6,6,0.5455,,,,,,0.267361,0.390909,0.526316,23400.00,,
Southwest Institute of Healing Arts,AZ,Accrediting Council for Continuing Education & Training,1,1,3,12,3,2,0.3790,,,,,,0.397781,0.479167,0.685393,22500.00,91,304
InterCoast Colleges-Riverside,CA,Accrediting Council for Continuing Education & Training,0,1,3,11,-2,-2,0.8686,,,,,,0.169339,0.250526,0.434343,20300.00,619,1318
University of Antelope Valley,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,1,3,21,11,6,0.3840,,,,,,0.206943,0.421622,0.567568,17000.00,282,770
Birthingway College of Midwifery,OR,Midwifery Education Accreditation Council,1,3,2,11,0,6,0.6182,,,,,,,,,,,
Pima Medical Institute-Albuquerque West,NM,Accrediting Bureau of Health Education Schools,1,1,3,11,-2,-2,0.6580,,,,,,0.284211,,,,,
Brighton Center's Center for Employment Training,KY,Council on Occupational Education,1,1,2,21,-2,-2,0.0000,,,,,,,,,12700.00,28,100
California Healing Arts College,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,13,-2,-2,0.5809,,,,,,0.374046,,,22700.00,40,151
Dallas Barber & Stylist College,TX,Council on Occupational Education,1,1,3,11,-2,-2,0.0000,,,,,,,,,18600.00,48,80
NorthShore University HealthSystem School of Nurse Anesthesia,IL,Council on Accreditation of Nurse Anesthesia Educational Programs,1,4,2,13,-2,-2,,,,,,,,,,,,
Faith International University,WA,Transnational Association of Christian Colleges and Schools,1,3,2,12,7,6,0.4602,,,,,,,0.500000,,,,
Family of Faith Christian University,OK,Association for Bibical Higher Educaiton,1,3,2,42,-2,-2,0.2821,,,,,,,,,,,
Hood Theological Seminary,NC,Commission on Accrediting of the Association of Theological Schools,1,4,2,22,0,18,,,,,,,,,,,,
Colegio Educativo Tecnologico Industrial Inc,PR,Council on Occupational Education,1,1,2,13,-2,-2,0.0000,,,,,,,,,16100.00,90,93
International Technological University,CA,,1,4,2,11,0,18,,,,,,,,,,,,
Irene's Myomassology Institute,MI,Accrediting Council for Continuing Education & Training,1,1,3,13,-2,-2,0.5397,,,,,,0.478088,0.631579,0.666667,21700.00,55,250
Jay's Technical Institute,TX,Council on Occupational Education,1,1,3,11,-2,-2,0.9118,,,,,,0.079208,,,11800.00,96,169
Mr John's School of Cosmetology & Nails-Jacksonville,IL,,1,1,3,32,-2,-2,0.8333,,,,,,,,,,,
NTMA Training Centers of Southern California,CA,Accrediting Commission of Career Schools and Colleges,1,1,2,21,-2,-2,0.7408,,,,,,0.472414,0.585657,0.721311,30400.00,228,728
P C Age-Jersey City,NJ,Council on Occupational Education,1,1,3,11,-2,-2,0.5153,,,,,,0.312775,,,44300.00,,
PC AGE-Metropark,NJ,Council on Occupational Education,0,1,3,21,-2,-2,0.5459,,,,,,0.312775,,,44300.00,,
Hollywood Institute,FL,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.6927,,,,,,0.167763,,,16200.00,165,650
South Florida Institute of Technology,FL,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.3018,,,,,,0.736318,,,22700.00,195,956
Southeastern Institute-Charleston,SC,Accrediting Commission of Career Schools and Colleges,1,1,3,12,-2,-2,0.4308,,,,,,0.236934,0.454545,0.620690,20900.00,62,201
Toni & Guy Hairdressing Academy-Colorado Springs,CO,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.5000,,,,,,0.280702,,,18100.00,,
Trend Barber College,TX,Council on Occupational Education,1,1,3,11,-2,-2,0.5641,,,,,,0.091633,,,14200.00,66,109
Valley Grande Institute for Academic Studies,TX,Accrediting Bureau of Health Education Schools,1,1,2,21,-2,-2,0.7367,,,,,,0.178174,,,27700.00,82,471
West Coast University-Los Angeles,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,3,11,11,9,0.8863,,,,,,0.544990,0.592934,0.675250,74600.00,115,1662
Williamson Christian College,TN,Association for Bibical Higher Educaiton,1,3,2,13,11,6,0.3023,,,,,,,,,,,
Triangle Tech Inc-Sunbury,PA,Accrediting Commission of Career Schools and Colleges,0,2,3,41,4,1,0.8684,,,,,,0.341317,0.647059,0.744681,35100.00,64,447
DigiPen Institute of Technology,WA,Accrediting Commission of Career Schools and Colleges,1,3,3,13,15,9,0.5428,,,,,,0.657534,0.688000,0.876033,50400.00,26,270
Cortiva Institute-Groton,CT,,0,1,3,22,-2,-2,0.8113,,,,,,0.471698,0.637255,0.723077,24100.00,82,518
Pierpont Community and Technical College,WV,Higher Learning Commission,1,2,1,32,2,2,0.3100,8091,8337,10544,13256,14132,0.168874,0.325424,0.464286,25300.00,,
Dewey University-Hato Rey,PR,Accrediting Bureau of Health Education Schools,0,3,2,11,6,6,0.3944,,,,,,,,,14800.00,2716,3604
InterCoast Colleges-West Covina,CA,Accrediting Council for Continuing Education & Training,0,1,3,21,-2,-2,1.0000,,,,,,0.169339,0.250526,0.434343,20300.00,619,1318
American College of Healthcare Sciences,OR,Distance Education Accrediting Commission,1,1,3,11,5,6,0.5024,,,,,,,,,,,
Colorado Media School,CO,Accrediting Commission of Career Schools and Colleges,0,1,3,12,-2,-2,0.2484,,,,,,0.178723,0.345324,0.620690,25600.00,105,739
Paul Mitchell the School-Rhode Island,RI,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.4849,,,,,,0.330083,0.496416,0.627604,19200.00,310,1315
Platt College-Miller-Motte Technical-Chattanooga,TN,Accrediting Commission of Career Schools and Colleges,0,1,3,12,3,1,0.4544,,,,,,0.108998,0.251036,0.460094,19400.00,780,3465
Milan Institute-Sparks,NV,Council on Occupational Education,0,1,3,21,-2,-2,0.5060,,,,,,0.255319,0.476440,0.382353,20200.00,256,797
Empire Beauty School-Framingham,MA,,1,1,3,13,-2,-2,0.5059,,,,,,0.170915,0.376471,0.600000,18400.00,75,216
Interactive College of Technology,TX,Council on Occupational Education,0,1,3,11,4,1,0.3889,,,,,,0.304762,,,21200.00,218,996
Bexley Hall Seabury Western Theological Seminary Federation Inc.,IL,Commission on Accrediting of the Association of Theological Schools,1,4,2,11,0,18,,,,,,,,,,,,
Altierus Career College-Norcross,GA,Accrediting Commission of Career Schools and Colleges,0,1,2,21,4,1,0.6989,,,,,,0.146101,0.269231,0.393939,17400.00,575,2531
Strayer University-Tennessee,TN,Middle States Commission on Higher Education,0,3,3,11,5,6,0.8304,,,,,,0.127116,0.240113,0.409153,33100.00,2856,16069
Strayer University-Pennsylvania,PA,Middle States Commission on Higher Education,0,3,3,21,5,6,0.7541,,,,,,0.127116,0.240113,0.409153,33100.00,2856,16069
Charlie's Guard-Detective Bureau and Academy Inc,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.0000,,,,,,,,,11700.00,123,110
PCI Academy-Plymouth,MN,National Accrediting Commission of Career Arts and Sciences,0,1,3,13,-2,-2,0.2558,,,,,,0.284722,0.619048,0.673077,22000.00,28,199
Creative Images Institute of Cosmetology-South Dayton,OH,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.5989,,,,,,0.164609,0.285714,0.448276,17000.00,52,251
Brookline College-Albuquerque,NM,Accrediting Bureau of Health Education Schools,0,1,3,11,5,6,0.6915,,,,,,0.138688,0.268248,0.481013,18300.00,564,2113
Byzantine Catholic Seminary of Saints Cyril and Methodius,PA,Commission on Accrediting of the Association of Theological Schools,1,4,2,11,0,18,,,,,,,,,,,,
Northcentral University,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,3,11,5,12,0.4382,,,,,,,0.355263,,,,
Bayamon Community College,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.0000,,,,,,,,,13400.00,180,224
Harris School of Business-Dover Campus,DE,Accrediting Commission of Career Schools and Colleges,0,1,3,13,-2,-2,0.6058,,,,,,0.145780,0.293436,0.494118,21100.00,141,691
Folsom Lake College,CA,Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges,1,2,1,13,1,3,0.0223,4006,5575,7407,9408,11482,0.236641,,,24100.00,244,756
LeGrand Institute of Cosmetology Inc,SC,National Accrediting Commission of Career Arts and Sciences,1,1,3,31,-2,-2,0.6452,,,,,,,,,,,
Hussian College-Daymar College Murfreesboro,TN,Accrediting Commission of Career Schools and Colleges,0,2,3,12,7,6,0.6505,,,,,,0.122368,0.244224,0.440000,18700.00,473,1965
Cambridge Technical Institute,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.0000,,,,,,,,,15200.00,41,50
Empire Beauty School-Midlothian,VA,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.4947,,,,,,0.188537,0.400000,0.555556,16300.00,115,345
Empire Beauty School-Owings Mills,MD,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.5310,,,,,,0.188253,0.300000,0.506329,16200.00,103,387
Empire Beauty School-West Mifflin,PA,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.5581,,,,,,0.188253,0.300000,0.506329,16200.00,103,387
Bold Beauty Academy,MT,National Accrediting Commission of Career Arts and Sciences,1,1,3,12,-2,-2,0.5513,,,,,,0.324324,,,13900.00,28,83
ATI College-Norwalk,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.7460,,,,,,0.274648,,,30300.00,39,195
Advance Science International College,FL,Accrediting Commission of Career Schools and Colleges,1,2,3,21,-2,-2,0.6591,,,,,,,,,16300.00,36,143
Advanced College,CA,Council on Occupational Education,1,1,3,21,4,1,0.2921,,,,,,0.190476,,,25500.00,51,242
Advanced Training Associates,CA,Council on Occupational Education,1,1,3,21,4,1,0.7182,,,,,,0.370370,,,,,
American Advanced Technicians Institute,FL,Accrediting Council for Continuing Education & Training,1,1,3,21,-2,-2,0.6040,,,,,,0.703390,,,23100.00,,
Baptist University of the Americas,TX,Association for Bibical Higher Educaiton,1,3,2,11,7,7,0.0847,,,,,,,,,22800.00,,
The Beauty Institute,FL,National Accrediting Commission of Career Arts and Sciences,1,1,3,21,-2,-2,0.0000,,,,,,,,,14800.00,47,81
Beis Medrash Heichal Dovid,NY,Association of Advanced Rabbinical and Talmudic Schools,1,3,2,11,12,8,0.0000,,,,,,,,,,,
Blue Cliff Career College,AL,Accrediting Commission of Career Schools and Colleges,1,1,3,12,-2,-2,0.7920,,,,,,0.217949,,,16400.00,56,191
Career Beauty College,TN,National Accrediting Commission of Career Arts and Sciences,1,1,3,32,-2,-2,0.0741,,,,,,,,,,,
Paul Mitchell the School-Gastonia,NC,National Accrediting Commission of Career Arts and Sciences,1,1,3,13,-2,-2,0.6325,,,,,,0.185841,0.271739,0.489362,15300.00,50,239
CES College,CA,Council on Occupational Education,1,1,2,12,-2,-2,0.3386,,,,,,0.420290,,,15500.00,77,147
Stellar Career College,CA,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.5447,,,,,,0.376812,,,15500.00,42,108
Auguste Escoffier School of Culinary Arts-Austin,TX,Council on Occupational Education,1,2,3,11,4,1,0.5850,,,,,,0.400000,0.402597,0.684211,,,
Culinary Institute Inc,TX,Accrediting Commission of Career Schools and Colleges,1,2,3,11,1,1,0.4891,,,,,,0.217391,,,27600.00,39,166
Escuela Hotelera de San Juan,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,11,-2,-2,0.2741,,,,,,0.370370,,,16000.00,208,324
Expertise Cosmetology Institute,NV,National Accrediting Commission of Career Arts and Sciences,1,1,2,11,-2,-2,0.3447,,,,,,0.219388,,,17300.00,43,172
Orion Institute,OH,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.7778,,,,,,0.575758,,,,,
Health Works Institute,MT,,1,1,3,33,-2,-2,0.7619,,,,,,0.564103,,,,,
Moore Career College,LA,Council on Occupational Education,1,1,3,21,-2,-2,0.5795,,,,,,0.512195,,,15800.00,,
Industrial Technical College,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.0000,,,,,,,,,15300.00,162,163
Institute of Beauty Occupation and Technology Course,PR,,1,1,3,21,-2,-2,0.0000,,,,,,,,,9300.00,160,135
Institute of Clinical Acupuncture & Oriental Med,HI,Accrediting Commission for Acupuncture and Oriental Medicine,1,4,3,11,0,18,,,,,,,,,,,,
Gwinnett College-Marietta Campus,GA,Council on Occupational Education,1,1,3,13,4,1,0.6493,,,,,,0.095172,,,15900.00,408,1689
Leston College,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.0000,,,,,,,,,11800.00,138,115
Charlotte Christian College and Theological Seminary,NC,Transnational Association of Christian Colleges and Schools,1,3,2,11,5,6,0.5714,,,,,,,,,,,
Nightingale College,UT,Accrediting Bureau of Health Education Schools,1,2,3,12,11,6,0.6853,,,,,,0.562500,,,,,
Omnitech Institute,GA,Council on Occupational Education,1,1,3,21,-2,-2,0.8021,,,,,,0.096774,,,18100.00,126,487
PITC Institute,PA,Accrediting Bureau of Health Education Schools,1,1,3,21,-2,-2,0.9865,,,,,,0.173184,,,,,
Skinworks School of Advanced Skincare,UT,Council on Occupational Education,1,1,3,21,-2,-2,0.3458,,,,,,0.527273,,,21100.00,,
Southeastern Institute-Columbia,SC,Accrediting Commission of Career Schools and Colleges,1,1,3,12,-2,-2,0.4393,,,,,,0.131707,,,19300.00,33,183
Technical Learning Centers Inc,DC,Council on Occupational Education,1,1,3,11,-2,-2,0.5419,,,,,,0.125654,,,18700.00,41,106
Turning Point Beauty College,AZ,National Accrediting Commission of Career Arts and Sciences,1,1,3,41,-2,-2,0.0822,,,,,,0.171875,,,,,
Unitech Training Academy-Lafayette,LA,Council on Occupational Education,1,1,3,12,-2,-2,0.7813,,,,,,0.444030,0.542373,0.658537,16100.00,187,864
Mountwest Community and Technical College,WV,Higher Learning Commission,1,1,1,22,2,2,0.2847,7875,5824,7862,11530,,0.158627,0.299703,0.460993,21300.00,262,991
Centura College-Columbia,SC,,1,1,3,21,3,1,0.7222,,,,,,0.062762,,,19300.00,126,573
Flagler College-Tallahassee,FL,Southern Association of Colleges and Schools Commission on Colleges,0,3,2,12,11,6,0.5142,,,,,,0.451362,0.527451,0.646481,33900.00,101,1151
American InterContinental University,AZ,Higher Learning Commission,1,3,3,13,5,12,0.8270,,,,,,0.142156,0.244388,0.406015,27700.00,5187,20834
Toyota Technological Institute at Chicago,IL,Higher Learning Commission,1,4,2,11,0,18,,,,,,,,,,,,
American InterContinental University-Houston,TX,Higher Learning Commission,0,3,3,11,7,6,0.5684,,,,,,0.142156,0.244388,0.406015,27700.00,5187,20834
University of California-Merced,CA,Western Association of Schools and Colleges Senior Colleges and University Commission,1,3,1,41,12,13,0.4780,9043,10506,13891,19060,28341,0.567878,0.664488,0.682927,36900.00,119,1189
Remington College-North Houston Campus,TX,Accrediting Commission of Career Schools and Colleges,0,1,2,11,10,6,0.6565,,,,,,0.202269,0.346614,0.525000,21900.00,374,1887
Paul Mitchell the School-Orlando,FL,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.6519,,,,,,0.330083,0.496416,0.627604,19200.00,310,1315
Pima Medical Institute-Las Vegas,NV,Accrediting Bureau of Health Education Schools,0,1,3,12,4,2,0.7972,,,,,,0.358655,0.530829,0.661552,26700.00,1767,8268
Remington College-Nashville Campus,TN,Accrediting Commission of Career Schools and Colleges,0,1,2,11,4,1,0.7061,,,,,,0.202269,0.346614,0.525000,21900.00,374,1887
Platt College-OKC-Memorial,OK,Accrediting Commission of Career Schools and Colleges,0,1,3,11,4,1,0.6194,,,,,,0.303289,0.383978,0.538462,26200.00,358,1854
Central Methodist University-College of Graduate and Extended Studies,MO,Higher Learning Commission,0,3,2,32,5,9,0.2642,,,,,,0.418451,0.576923,0.702624,30900.00,58,899
University of Phoenix-New Jersey,NJ,Higher Learning Commission,0,3,3,11,11,6,0.4054,,,,,,0.155638,0.306881,0.484815,28400.00,56161,245947
North-West College-Riverside,CA,Accrediting Commission of Career Schools and Colleges,0,1,3,11,-2,-2,0.9318,,,,,,0.280488,0.432558,0.565217,23700.00,123,473
Altierus Career College-Bissonnet,TX,Accrediting Commission of Career Schools and Colleges,0,1,2,11,-2,-2,0.5587,,,,,,0.175219,0.365497,0.396825,20300.00,704,2941
Colegio Tecnico de Electricidad Galloza,PR,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.0000,,,,,,,,,16300.00,46,51
Arthur's Beauty School Inc-Conway,AR,National Accrediting Commission of Career Arts and Sciences,0,1,3,13,-2,-2,0.6737,,,,,,0.477477,,,15800.00,45,172
Spa Tech Institute-Ipswich,MA,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.6818,,,,,,0.447090,0.644737,0.707865,20900.00,106,576
Spa Tech Institute-Westboro,MA,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.6689,,,,,,0.447090,0.644737,0.707865,20900.00,106,576
Spa Tech Institute-Plymouth,MA,National Accrediting Commission of Career Arts and Sciences,0,1,3,21,-2,-2,0.6535,,,,,,0.447090,0.644737,0.707865,20900.00,106,576
Neumont College of Computer Science,UT,Accrediting Commission of Career Schools and Colleges,1,3,3,12,10,8,0.8839,,,,,,0.561798,0.753086,0.775862,69800.00,,
Johnson & Wales University-Charlotte,NC,New England Commission on Higher Education,0,3,2,11,10,11,0.8625,,,,,,0.524043,0.609587,0.700998,31900.00,483,7340
Roseman University of Health Sciences,NV,Northwest Commission on Colleges and Universities,1,3,2,11,11,9,0.7228,,,,,,0.642857,0.626866,0.807692,74900.00,,
Fortis Institute-Port Saint Lucie,FL,Accrediting Bureau of Health Education Schools,0,1,3,12,4,1,0.8514,,,,,,0.262063,0.357456,0.524390,21200.00,528,2879
Aviation Institute of Maintenance-Manassas,VA,Accrediting Commission of Career Schools and Colleges,1,1,3,21,-2,-2,0.6601,,,,,,0.189781,,,33700.00,29,177
Cosmetology School of Arts and Science LLC,ID,National Accrediting Commission of Career Arts and Sciences,1,1,3,33,-2,-2,0.6538,,,,,,,,,,,
Universal Technical Institute of Pennsylvania Inc,PA,Accrediting Commission of Career Schools and Colleges,0,1,3,21,-2,-2,0.6343,,,,,,0.380838,0.493174,0.671533,36300.00,467,4563
